;angle##angle##degrees;height##length##millimeters;width##length##millimeters;depth##length##millimeters;ispolnenie##number##feet;massa##number##feet;dlina_lotka##length##millimeters
36780K;90;50;50;0.8;1;0.45;230
36782K;90;50;100;0.8;1;0.6;230
36783K;90;50;150;0.8;1;0.7;230
36784K;90;50;200;0.8;1;0.8;230
36785K;90;50;300;0.8;1;1;230
36786K;90;50;400;0.8;1;1.2;230
36787K;90;50;500;0.8;1;1.4;230
36788K;90;50;600;0.8;1;1.6;230
36780KKKKKKHDZ ;90;50;50;0.8;2;0.45;230
36782KKKKKKHDZ ;90;50;100;0.8;2;0.6;230
36783KKKKKKHDZ;90;50;150;0.8;2;0.7;230
36784KKKKKKHDZ ;90;50;200;0.8;2;0.8;230
36785KKKKKKHDZ;90;50;300;0.8;2;1;230
36786KKKKKKHDZ ;90;50;400;0.8;2;1.2;230
36787KKKKKKHDZ;90;50;500;0.8;2;1.4;230
36788KKKKKKHDZ ;90;50;600;0.8;2;1.6;230
36780KKKKKKINOX ;90;50;50;0.8;3;0.45;230
36782KKKKKKINOX ;90;50;100;0.8;3;0.6;230
36783KKKKKKINOX ;90;50;150;0.8;3;0.7;230
36784KKKKKKINOX ;90;50;200;0.8;3;0.8;230
36785KKKKKKINOX ;90;50;300;0.8;3;1;230
36786KKKKKKINOX ;90;50;400;0.8;3;1.2;230
36787KKKKKKINOX ;90;50;500;0.8;3;1.4;230
36788KKKKKKINOX ;90;50;600;0.8;3;1.6;230
36780KKKKKKZL ;90;50;50;0.8;4;0.45;230
36782KKKKKKZL ;90;50;100;0.8;4;0.6;230
36783KKKKKKZL ;90;50;150;0.8;4;0.7;230
36784KKKKKKZL;90;50;200;0.8;4;0.8;230
36785KKKKKKZL;90;50;300;0.8;4;1;230
36786KKKKKKZL ;90;50;400;0.8;4;1.2;230
36787KKKKKKZL ;90;50;500;0.8;4;1.4;230
36788KKKKKKZL;90;50;600;0.8;4;1.6;230
36801K;90;80;80;0.8;1;0.6;230
36802K;90;80;100;0.8;1;0.65;230
36803K;90;80;150;0.8;1;0.75;230
36804K;90;80;200;0.8;1;0.85;230
36805K;90;80;300;0.8;1;1.2;230
36806K;90;80;400;0.8;1;1.3;230
36807K;90;80;500;0.8;1;1.4;230
36808K;90;80;600;0.8;1;1.6;230
36801KKKKKKHDZ;90;80;80;0.8;2;0.6;230
36802KKKKKKHDZ;90;80;100;0.8;2;0.65;230
36803KKKKKKHDZ;90;80;150;0.8;2;0.75;230
36804KKKKKKHDZ;90;80;200;0.8;2;0.85;230
36805KKKKKKHDZ;90;80;300;0.8;2;1.2;230
36806KKKKKKHDZ;90;80;400;0.8;2;1.3;230
36807KKKKKKHDZ;90;80;500;0.8;2;1.4;230
36808KKKKKKHDZ;90;80;600;0.8;2;1.6;230
36801KKKKKKINOX;90;80;80;0.8;3;0.6;230
36802KKKKKKINOX;90;80;100;0.8;3;0.65;230
36803KKKKKKINOX;90;80;150;0.8;3;0.75;230
36804KKKKKKINOX;90;80;200;0.8;3;0.85;230
36805KKKKKKINOX;90;80;300;0.8;3;1.2;230
36806KKKKKKINOX;90;80;400;0.8;3;1.3;230
36807KKKKKKINOX;90;80;500;0.8;3;1.4;230
36808KKKKKKINOX;90;80;600;0.8;3;1.6;230
36801KKKKKKZL;90;80;80;0.8;4;0.6;230
36802KKKKKKZL;90;80;100;0.8;4;0.65;230
36803KKKKKKZL;90;80;150;0.8;4;0.75;230
36804KKKKKKZL;90;80;200;0.8;4;0.85;230
36805KKKKKKZL;90;80;300;0.8;4;1.2;230
36806KKKKKKZL;90;80;400;0.8;4;1.3;230
36807KKKKKKZL;90;80;500;0.8;4;1.4;230
36808KKKKKKZL;90;80;600;0.8;4;1.6;230
36821K;90;100;100;0.8;1;0.68;230
36822K;90;100;150;0.8;1;0.79;230
36823K;90;100;200;0.8;1;0.89;230
36824K;90;100;300;0.8;1;1.26;230
36825K;90;100;400;0.8;1;1.37;230
36826K;90;100;500;0.8;1;1.47;230
